trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,u,v,key,travel_time_s,time_source,projection_method,projection_quality
LIMA_P0_L4_LIM-0148_LIM-0147_0,LIMA_P0_L4_LIM-0148_LIM-0147_0,L4,1.0,,,LIM-0148,LIM-0147,0,79.77740749491306,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0148_LIM-0149_0,LIMA_P0_L4_LIM-0148_LIM-0149_0,L4,0.0,,,LIM-0148,LIM-0149,0,113.74461904232606,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0149_LIM-0148_0,LIMA_P0_L4_LIM-0149_LIM-0148_0,L4,1.0,,,LIM-0149,LIM-0148,0,113.74461904232606,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0149_LIM-0150_0,LIMA_P0_L4_LIM-0149_LIM-0150_0,L4,0.0,,,LIM-0149,LIM-0150,0,91.8960840426633,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0150_LIM-0149_0,LIMA_P0_L4_LIM-0150_LIM-0149_0,L4,1.0,,,LIM-0150,LIM-0149,0,91.8960840426633,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0150_LIM-0151_0,LIMA_P0_L4_LIM-0150_LIM-0151_0,L4,0.0,,,LIM-0150,LIM-0151,0,120.56945104580093,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0150_LIM-0246_0,LIMA_P0_TRANSFER_LIM-0150_LIM-0246_0,TRANSFER,,,,LIM-0150,LIM-0246,0,144.7693554737328,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
LIMA_P0_L4_LIM-0151_LIM-0150_0,LIMA_P0_L4_LIM-0151_LIM-0150_0,L4,1.0,,,LIM-0151,LIM-0150,0,120.56945104580093,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0151_LIM-0152_0,LIMA_P0_L4_LIM-0151_LIM-0152_0,L4,0.0,,,LIM-0151,LIM-0152,0,130.37288196607435,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0152_LIM-0151_0,LIMA_P0_L4_LIM-0152_LIM-0151_0,L4,1.0,,,LIM-0152,LIM-0151,0,130.37288196607435,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0152_LIM-0153_0,LIMA_P0_L4_LIM-0152_LIM-0153_0,L4,0.0,,,LIM-0152,LIM-0153,0,124.51719784195284,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0153_LIM-0152_0,LIMA_P0_L4_LIM-0153_LIM-0152_0,L4,1.0,,,LIM-0153,LIM-0152,0,124.51719784195284,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0153_LIM-0204_0,LIMA_P0_TRANSFER_LIM-0153_LIM-0204_0,TRANSFER,,,,LIM-0153,LIM-0204,0,116.55755810291176,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
LIMA_P0_L5_LIM-0154_LIM-0155_0,LIMA_P0_L5_LIM-0154_LIM-0155_0,L5,0.0,,,LIM-0154,LIM-0155,0,127.43808376803281,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0155_LIM-0154_0,LIMA_P0_L5_LIM-0155_LIM-0154_0,L5,1.0,,,LIM-0155,LIM-0154,0,127.43808376803281,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0155_LIM-0156_0,LIMA_P0_L5_LIM-0155_LIM-0156_0,L5,0.0,,,LIM-0155,LIM-0156,0,130.5599858329441,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0156_LIM-0155_0,LIMA_P0_L5_LIM-0156_LIM-0155_0,L5,1.0,,,LIM-0156,LIM-0155,0,130.5599858329441,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0156_LIM-0157_0,LIMA_P0_L5_LIM-0156_LIM-0157_0,L5,0.0,,,LIM-0156,LIM-0157,0,123.53448039289081,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0157_LIM-0156_0,LIMA_P0_L5_LIM-0157_LIM-0156_0,L5,1.0,,,LIM-0157,LIM-0156,0,123.53448039289081,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0157_LIM-0158_0,LIMA_P0_L5_LIM-0157_LIM-0158_0,L5,0.0,,,LIM-0157,LIM-0158,0,138.80170927495675,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0158_LIM-0157_0,LIMA_P0_L5_LIM-0158_LIM-0157_0,L5,1.0,,,LIM-0158,LIM-0157,0,138.80170927495675,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0158_LIM-0159_0,LIMA_P0_L5_LIM-0158_LIM-0159_0,L5,0.0,,,LIM-0158,LIM-0159,0,154.49163512402342,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0159_LIM-0158_0,LIMA_P0_L5_LIM-0159_LIM-0158_0,L5,1.0,,,LIM-0159,LIM-0158,0,154.49163512402342,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0159_LIM-0160_0,LIMA_P0_L5_LIM-0159_LIM-0160_0,L5,0.0,,,LIM-0159,LIM-0160,0,117.15577225312242,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0160_LIM-0159_0,LIMA_P0_L5_LIM-0160_LIM-0159_0,L5,1.0,,,LIM-0160,LIM-0159,0,117.15577225312242,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0160_LIM-0161_0,LIMA_P0_L5_LIM-0160_LIM-0161_0,L5,0.0,,,LIM-0160,LIM-0161,0,106.61070873637289,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0161_LIM-0160_0,LIMA_P0_L5_LIM-0161_LIM-0160_0,L5,1.0,,,LIM-0161,LIM-0160,0,106.61070873637289,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0161_LIM-0162_0,LIMA_P0_L5_LIM-0161_LIM-0162_0,L5,0.0,,,LIM-0161,LIM-0162,0,129.71694979624027,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0162_LIM-0161_0,LIMA_P0_L5_LIM-0162_LIM-0161_0,L5,1.0,,,LIM-0162,LIM-0161,0,129.71694979624027,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0162_LIM-0163_0,LIMA_P0_L5_LIM-0162_LIM-0163_0,L5,0.0,,,LIM-0162,LIM-0163,0,96.84837975750679,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0163_LIM-0162_0,LIMA_P0_L5_LIM-0163_LIM-0162_0,L5,1.0,,,LIM-0163,LIM-0162,0,96.84837975750679,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0163_LIM-0164_0,LIMA_P0_L5_LIM-0163_LIM-0164_0,L5,0.0,,,LIM-0163,LIM-0164,0,101.20187078427993,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0164_LIM-0163_0,LIMA_P0_L5_LIM-0164_LIM-0163_0,L5,1.0,,,LIM-0164,LIM-0163,0,101.20187078427993,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L5_LIM-0164_LIM-0165_0,LIMA_P0_L5_LIM-0164_LIM-0165_0,L5,0.0,,,LIM-0164,LIM-0165,0,115.89958115963172,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0164_LIM-0038_0,LIMA_P0_TRANSFER_LIM-0164_LIM-0038_0,TRANSFER,,,,LIM-0164,LIM-0038,0,96.8909657674715,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
