GTFS Stop ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night,lat,lon,geometry_wkt
LIM-0110,Cesar Canevaro,L3,13,Sub,At Grade,-12.08347,-77.03473,0,0,0,0,-12.08347,-77.03473,POINT (-77.03473 -12.08347)
LIM-0111,Museo de Historia Natural,L3,14,Sub,At Grade,-12.07662,-77.03566,0,0,0,0,-12.07662,-77.03566,POINT (-77.03566 -12.07662)
LIM-0112,Parque de la Reserva,L3,15,Sub,At Grade,-12.06936,-77.03671,0,0,0,0,-12.06936,-77.03671,POINT (-77.03671 -12.06936)
LIM-0113,Estación Central,L3,16,Sub,At Grade,-12.05983,-77.03784,0,0,0,0,-12.05983,-77.03784,POINT (-77.03784 -12.05983)
LIM-0114,Garcilaso de la Vega,L3,17,Sub,At Grade,-12.05099,-77.03873,0,0,0,0,-12.05099,-77.03873,POINT (-77.03873 -12.05099)
LIM-0115,Tacna,L3,18,Sub,At Grade,-12.04639,-77.03752,0,0,0,0,-12.04639,-77.03752,POINT (-77.03752 -12.04639)
LIM-0116,Caquetá,L3,19,Sub,At Grade,-12.03696,-77.04207,0,0,0,0,-12.03696,-77.04207,POINT (-77.04207 -12.03696)
LIM-0117,Jose Granda,L3,20,Sub,At Grade,-12.02876,-77.05801,0,0,0,0,-12.02876,-77.05801,POINT (-77.05801 -12.02876)
LIM-0118,Bartolome de las Casas,L3,21,Sub,At Grade,-12.01547,-77.06005,0,0,0,0,-12.01547,-77.06005,POINT (-77.06005 -12.01547)
LIM-0119,Tomas Valle,L3,22,Sub,At Grade,-12.00796,-77.06138,0,0,0,0,-12.00796,-77.06138,POINT (-77.06138 -12.00796)
LIM-0120,Carlos Izaguirre,L3,23,Sub,At Grade,-11.98993,-77.06405,0,0,0,0,-11.98993,-77.06405,POINT (-77.06405 -11.98993)
LIM-0121,Naranjal,L3,24,Sub,At Grade,-11.97722,-77.06606,0,0,0,0,-11.97722,-77.06606,POINT (-77.06606 -11.97722)
LIM-0122,Villa Sol,L3,25,Sub,At Grade,-11.96217,-77.06844,0,0,0,0,-11.96217,-77.06844,POINT (-77.06844 -11.96217)
