GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,geometry,_x,_y,is_cbd,geometry_wkt
A25,162,162,IND,8th Av - Fulton St,50 St,M,True,C E,Subway,40.762456,-73.985984,Uptown,Downtown,2,0,1,Downtown only,POINT (-73.985984 40.762456),POINT (-73.985984 40.762456),-8236082.064719286,4977366.864726591,True,POINT (-73.985984 40.762456)
632,403,403,IRT,Lexington Av,33 St,M,True,6,Subway,40.746081,-73.982076,Uptown,Downtown,0,0,0,,POINT (-73.982076 40.746081),POINT (-73.982076 40.746081),-8235647.028149266,4974960.505217466,True,POINT (-73.982076 40.746081)
122,312,312,IRT,Broadway - 7Av,79 St,M,False,1,Subway,40.783934,-73.979917,Uptown,Downtown,0,0,0,,POINT (-73.979917 40.783934),POINT (-73.979917 40.783934),-8235406.689368644,4980524.025633644,False,POINT (-73.979917 40.783934)
A47,180,180,IND,8th Av - Fulton St,Kingston-Throop Avs,Bk,False,C,Subway,40.679921,-73.940858,Manhattan,Outbound,0,0,0,,POINT (-73.940858 40.679921),POINT (-73.940858 40.679921),-8231058.6613777485,4965244.105262427,False,POINT (-73.940858 40.679921)
207,420,420,IRT,Lenox - White Plains Rd,219 St,Bx,False,2 5,Elevated,40.883895,-73.862633,Northbound,Manhattan,0,0,0,,POINT (-73.862633 40.883895),POINT (-73.862633 40.883895),-8222350.694210445,4995231.257019575,False,POINT (-73.862633 40.883895)
G12,265,265,IND,Queens Blvd,Grand Av-Newtown,Q,False,M R,Subway,40.737015,-73.877223,Outbound,Manhattan,0,0,0,,POINT (-73.877223 40.737015),POINT (-73.877223 40.737015),-8223974.845581118,4973628.481860092,False,POINT (-73.877223 40.737015)
N04,73,615,BMT,Sea Beach,New Utrecht Av,Bk,False,N,Open Cut,40.624842,-73.996353,Manhattan,Coney Island,1,1,1,,POINT (-73.996353 40.624842),POINT (-73.996353 40.624842),-8237236.3365193205,4957162.43858167,False,POINT (-73.996353 40.624842)
A12,151,151,IND,8th Av - Fulton St,145 St,M,False,A C,Subway,40.824783,-73.944216,Uptown,Downtown,0,0,0,,POINT (-73.944216 40.824783),POINT (-73.944216 40.824783),-8231432.472227832,4986531.447613904,False,POINT (-73.944216 40.824783)
R05,4,4,BMT,Astoria,Broadway,Q,False,N W,Elevated,40.76182,-73.925508,Astoria,Manhattan,0,0,0,,POINT (-73.925508 40.76182),POINT (-73.925508 40.76182),-8229349.9071940705,4977273.391393957,False,POINT (-73.925508 40.76182)
A43,176,176,IND,8th Av - Fulton St,Lafayette Av,Bk,False,C,Subway,40.686113,-73.973946,Manhattan,Outbound,0,0,0,,POINT (-73.973946 40.686113),POINT (-73.973946 40.686113),-8234742.000689115,4966153.066371181,False,POINT (-73.973946 40.686113)
D37,52,52,BMT,Broadway - Brighton,Avenue U,Bk,False,Q,Open Cut,40.5993,-73.955929,Manhattan,Southbound,0,0,0,,POINT (-73.955929 40.5993),POINT (-73.955929 40.5993),-8232736.357423494,4953416.95781739,False,POINT (-73.955929 40.5993)
A60,191,191,IND,Liberty Av,88 St,Q,False,A,Elevated,40.679843,-73.85147,Manhattan,Outbound,0,0,0,,POINT (-73.85147 40.679843),POINT (-73.85147 40.679843),-8221108.03473472,4965232.655709467,False,POINT (-73.85147 40.679843)
R35,31,31,BMT,4th Av,25 St,Bk,False,R,Subway,40.660397,-73.998091,Manhattan,Southbound,0,0,0,,POINT (-73.998091 40.660397),POINT (-73.998091 40.660397),-8237429.80979432,4962378.611968399,False,POINT (-73.998091 40.660397)
G18,270,270,IND,Queens Blvd,46 St,Q,False,M R,Subway,40.756312,-73.913333,Outbound,Manhattan,0,0,0,,POINT (-73.913333 40.756312),POINT (-73.913333 40.756312),-8227994.592393663,4976463.914471465,False,POINT (-73.913333 40.756312)
G36,292,292,IND,Crosstown,Fulton St,Bk,False,G,Subway,40.687119,-73.975375,Queens,Southbound,0,0,0,,POINT (-73.975375 40.687119),POINT (-73.975375 40.687119),-8234901.07624146,4966300.751166726,False,POINT (-73.975375 40.687119)
639,410,623,IRT,Lexington Av,Canal St,M,True,6,Subway,40.718803,-74.000193,Uptown,Downtown,1,1,1,,POINT (-74.000193 40.718803),POINT (-74.000193 40.718803),-8237663.803363968,4970953.229602557,True,POINT (-74.000193 40.718803)
423,415,620,IRT,Eastern Pky,Borough Hall,Bk,False,4 5,Subway,40.692404,-73.990151,Manhattan,Outbound,1,1,1,,POINT (-73.990151 40.692404),POINT (-73.990151 40.692404),-8236545.933037422,4967076.646780238,False,POINT (-73.990151 40.692404)
117,307,307,IRT,Broadway - 7Av,116 St-Columbia University,M,False,1,Subway,40.807722,-73.96411,Uptown,Downtown,0,0,0,,POINT (-73.96411 40.807722),POINT (-73.96411 40.807722),-8233647.062177675,4984021.937086007,False,POINT (-73.96411 40.807722)
608,366,366,IRT,Pelham,Parkchester,Bx,False,6,Elevated,40.833226,-73.860816,Northbound,Manhattan,1,1,1,,POINT (-73.860816 40.833226),POINT (-73.860816 40.833226),-8222148.426695674,4987773.571248024,False,POINT (-73.860816 40.833226)
634,405,405,IRT,Lexington Av,23 St-Baruch College,M,True,6,Subway,40.739864,-73.986599,Uptown,Downtown,1,1,1,,POINT (-73.986599 40.739864),POINT (-73.986599 40.739864),-8236150.526206124,4974047.052034152,True,POINT (-73.986599 40.739864)
H06,204,204,IND,Rockaway,Beach 67 St,Q,False,A,Viaduct,40.590927,-73.796924,Manhattan,Far Rockaway,1,1,1,,POINT (-73.796924 40.590927),POINT (-73.796924 40.590927),-8215036.00178991,4952189.451965015,False,POINT (-73.796924 40.590927)
408,383,383,IRT,Jerome Av,183 St,Bx,False,4,Elevated,40.858407,-73.903879,Northbound,Manhattan,0,0,0,,POINT (-73.903879 40.858407),POINT (-73.903879 40.858407),-8226942.1779277045,4991479.108290348,False,POINT (-73.903879 40.858407)
F11,275,612,IND,Queens Blvd,Lexington Av/53 St,M,True,E F,Subway,40.757552,-73.969055,Queens,Downtown,1,1,1,,POINT (-73.969055 40.757552),POINT (-73.969055 40.757552),-8234197.537059646,4976646.143803596,True,POINT (-73.969055 40.757552)
